	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr15:76011737-76011789	0.179	0.095	0.075	0.0339302873700466
chr15:76011931-76011937	0.252	0.077	0.08	1.82809177474998e-32
chr15:76011976-76012009	0.249	0.061	0.041	1.63630320134425e-52
chr15:76012027-76012039	0.114	0.2	0.228	1.57193511505202e-19
chr15:76187040-76187060	0.198	0.033	0.194	5.38973612108547e-11
chr15:76190675-76190693	0.586	0.301	0.055	8.89008157334117e-78
chr15:76191677-76191726	0.439	0.441	0.063	3.96489010295116e-50
chr15:76477131-76477136	0.342	0.229	0.032	9.7346999313145e-83
chr15:76731390-76731403	0.071	0.012	0.459	3.88664298849176e-134
chr15:76741655-76741684	0.24	0.082	0.044	2.24977436555942e-23
chr15:76741693-76741723	0.259	0.158	0.009	3.0043995170875e-40
chr15:76741743-76741831	0.461	0.1	0.034	1.53410845742872e-106
chr15:76741846-76741904	0.367	0.179	0.166	5.16662572339043e-22
chr15:76741915-76741990	0.527	0.205	0.022	9.0367600912967e-89
chr15:76742167-76742197	0.317	0.147	0.035	3.15339972421837e-62
chr15:76910130-76910168	0.43	0.183	0.315	1.62662596833921e-23
chr15:76910241-76910252	0.17	0.189	0.411	6.30757654160475e-19
chr15:76911393-76911405	0.4	0.048	0.194	2.15001196727916e-39
chr15:76944044-76944216	0.493	0.509	0.284	0.28499626306405
chr15:77160365-77160383	0.628	0.172	0.607	1.26184909871025e-110
chr15:77168178-77168196	0.403	0.298	0.112	1.77142836497725e-35
chr15:77649198-77649206	0.542	0.187	0.705	7.95576447839216e-111
chr15:77675782-77675811	0.38	0.335	0.556	1.65775941529834e-33
chr15:77797945-77798151	0.865	0.357	0.108	1.4705544149836e-99
chr15:77912378-77912388	0.607	0.21	0.516	2.28564244039413e-79
chr15:78240597-78240625	0.011	0.23	0.438	7.81267020310926e-39
chr15:78240768-78240777	0.056	0.022	0.354	1.1688532461809e-46
chr15:78267473-78267502	NA	NA	0.619	NA
chr15:78267511-78267551	0	NA	0.695	1.15951615577178e-61
chr15:78385323-78385332	0.302	0.108	0.295	7.73332186691142e-12
chr15:78679659-78679672	0.55	0.214	0.476	1.82274404676803e-53
chr15:78928313-78928603	0.638	0.371	0.457	4.4757096892904e-34
chr15:79039775-79039789	0.465	0.312	0.518	1.95673451912262e-52
chr15:7925061-7925117	0.324	0.736	0.121	0.000199103006480583
chr15:7925185-7925281	0.426	NA	0.078	1.13716267768293e-58
chr15:7937722-7937785	0.663	0.131	0.02	1.24938495387818e-121
chr15:79448015-79448045	0.399	0.465	0.054	3.35472663356404e-56
chr15:79501670-79501700	0	0.651	0	3.91114397085887e-72
chr15:79769646-79769666	0.646	0.26	0.239	7.91220836051217e-72
chr15:79800860-79800939	0.29	0.478	0.331	6.12752847452786e-18
chr15:79801056-79801101	0.484	0.28	0.235	8.16293554128767e-27
chr15:79801597-79801721	0.565	0.912	0.249	1.77902416065474e-34
chr15:79832157-79832181	0.319	0.164	0.431	2.89155731620527e-21
chr15:79912842-79912894	0.823	NA	NA	NA
chr15:79912944-79912959	0.751	0.015	NA	2.11252983457312e-34
chr15:79946397-79946417	0.382	0.121	0.252	1.38378768995156e-37
chr15:79977895-79977905	0.701	0.213	0.219	1.28058070286653e-109
chr15:80042314-80042336	0.256	0.049	0.06	1.21907993854379e-33
chr15:80042341-80042359	0.178	0.118	0.154	0.957958953330601
chr15:80042367-80042382	0.118	0.121	0.13	0.120672343368899
chr15:80086325-80086343	1	NA	NA	NA
chr15:80706908-80706916	0.448	0.054	0.443	1.20463089736625e-48
chr15:80759688-80759713	0.235	0.193	0.039	6.30003486296678e-20
chr15:80782719-80782730	0.579	0.377	0.157	3.40144642006588e-82
chr15:80875719-80875759	0.521	0.417	0.715	2.4684419268348e-64
chr15:80876641-80876677	0.501	0.059	0.673	2.58057984701272e-115
chr15:80933106-80933127	0.696	0.16	0.491	4.59821450694704e-56
chr15:80988371-80988375	0.69	0.116	0.223	4.89670474718481e-79
chr15:81078214-81078231	0.466	0.303	0.445	1.05912662955824e-21
chr15:81329975-81330007	0.599	0.77	0.075	1.20717563466955e-73
chr15:81536181-81536240	0.733	0.077	0.001	1.04347903642095e-85
chr15:81536637-81536815	0.715	0.287	0.01	4.25910290224907e-33
chr15:81542730-81542845	0.602	0.193	NA	6.83391951782133e-18
chr15:81545042-81545091	0.576	NA	0.001	1.1145879155003e-71
chr15:81554120-81554159	0.668	0.311	0.456	7.56153216693122e-69
chr15:81589264-81589516	0.901	0.28	0.324	2.37413554407968e-58
chr15:81690532-81690588	0.525	NA	NA	NA
chr15:81702259-81702317	NA	0.764	0.758	0.475106020131747
chr15:81725606-81725675	0.657	0.362	0.166	9.81548181612842e-37
chr15:81811093-81811107	0.34	NA	0.15	3.01509638188321e-08
chr15:81811131-81811162	0.346	0.132	0.033	8.76217214940174e-46
chr15:81811207-81811218	0.36	0.248	0.105	7.39180723763074e-39
chr15:81811243-81811270	0.392	NA	0.068	4.72884520079626e-49
chr15:8239400-8239485	0.596	0.226	0.277	2.03578008126337e-08
chr15:8242863-8242999	0.577	0.037	0.147	1.30829448589027e-44
chr15:82682198-82682231	0.605	0.317	0.126	2.24894430970009e-57
chr15:82737661-82737700	0.944	0.057	0.163	2.29670377520639e-203
chr15:82752608-82752643	0.522	0.104	0.08	7.03423210216611e-26
chr15:82755373-82755403	0.664	0.483	0.492	3.84841646204332e-25
chr15:83088636-83088645	0.668	0.097	0.528	1.1439109268538e-106
chr15:83109955-83109964	0.597	0.281	0.132	4.33691153705255e-75
chr15:83197470-83197485	0.11	0.492	0.619	6.7125524780022e-23
chr15:83311549-83311622	0.678	0.371	0.359	9.00958277889655e-38
chr15:83328595-83328604	0.541	0.073	0.03	7.50163337219091e-91
chr15:8394147-8394159	NA	NA	1	NA
chr15:83962541-83962639	0.717	0.005	0.383	3.53448894657967e-90
chr15:84066248-84066282	0.654	0.411	0.536	8.80431676205378e-29
chr15:84214705-84214716	0.44	0.258	0.737	1.7365870329666e-58
chr15:84857182-84857198	0.637	0.243	0.255	6.18356818754223e-44
chr15:84857355-84857428	0.595	0.138	0.07	1.03099218245721e-66
chr15:85041318-85041364	0.503	0.297	0.499	1.71999973833189e-19
chr15:85041433-85041482	0.465	0.364	0.526	0.00363910149430564
chr15:85041621-85041642	0.268	0.321	0.363	5.88835890836506e-05
chr15:85041744-85041771	0.305	0.273	0.289	0.394594606042838
chr15:85367923-85367940	0.148	0.15	0.148	0.000476194128009149
chr15:85491387-85491404	0.186	0.038	0.518	7.89727888365946e-33
chr15:85631288-85631304	0.714	0.259	0.085	4.29322571241834e-106
chr15:85695491-85695506	0.484	0.15	0.057	7.91247656916373e-74
chr15:85833397-85833587	0.817	0.283	0.001	2.11567990891631e-105
chr15:85857784-85857807	0.634	0.126	0.446	1.08402328789828e-99
chr15:85905279-85905329	0.603	0.279	0.568	9.01156808251023e-36
chr15:85913093-85913121	0.718	0.092	0.428	1.11378158195224e-112
chr15:85920731-85920759	0.521	0.144	0.728	1.08140310626886e-146
chr15:85996308-85996332	0.535	0.356	0.177	4.77834123962716e-40
chr15:85996342-85996358	0.612	0.391	0.025	2.69858091666558e-75
chr15:86007922-86007946	0.65	0.055	0.527	3.32868772280298e-129
chr15:86103536-86103599	0.588	0.097	0.12	3.98391997527956e-37
chr15:86107952-86107965	0.726	0.027	0.454	4.13123516503443e-125
chr15:86112757-86112866	0.82	0.457	0.033	4.47747108128412e-96
chr15:87643393-87643400	0.568	0.56	0.555	0.0182209376922038
chr15:88513301-88513342	0.655	0.324	0.266	3.7289190982184e-50
chr15:88531464-88531470	0.353	0.209	0.449	8.92945802475253e-32
chr15:88538575-88538644	0.563	0.134	0.086	5.26017940293001e-58
chr15:88542861-88542916	0.516	0.382	0.058	1.11013670010025e-56
chr15:88542943-88542972	0.568	0.414	0.011	2.15333617895819e-116
chr15:88543140-88543174	0.427	0.395	0.455	0.552964894534472
chr15:88543824-88543967	0.688	0.346	0.201	7.10039103282428e-47
chr15:88544370-88544391	0.555	0.284	0.224	1.99412347993451e-63
chr15:88695612-88695622	0.297	0.333	0.475	8.97638701838278e-18
chr15:88695628-88695643	0.418	0.237	0.33	7.63658279074852e-16
chr15:89288302-89288315	0.071	0.127	0.177	5.76593959638643e-10
chr15:89305241-89305254	0.652	0.176	0.182	8.02471754982265e-67
chr15:89354038-89354082	0	0.09	0.721	2.10541501158975e-109
chr15:89354084-89354169	0	0.001	0.829	1.26228680794737e-170
chr15:89354375-89354447	0.056	0.001	0.716	1.0642407616932e-112
chr15:89354544-89354636	0.125	0.572	0.774	8.69444201413687e-37
chr15:89378323-89378341	0.078	0.003	0.53	5.25922707420798e-109
chr15:89378358-89378401	0.016	0.097	0.523	6.69295471808642e-69
chr15:89378431-89378446	0.045	0.001	0.524	1.01281002520403e-125
chr15:89378563-89378601	0.235	0.001	0.503	1.09020289811676e-52
chr15:89378603-89378626	0.035	0.148	0.554	6.22013289890962e-42
chr15:89378763-89378781	0.179	0.211	0.497	1.33699173764064e-20
chr15:89378862-89378894	0.392	0.049	0.473	2.93930297387914e-21
chr15:89387380-89387397	0.375	0.196	0.674	5.34213768640935e-34
chr15:89388410-89388430	0	0.002	0.454	7.94212213356062e-52
chr15:89388463-89388526	0.214	0.145	0.554	1.1512310704248e-22
chr15:89388606-89388619	0.054	0.079	0.599	1.95800053314483e-38
chr15:89388690-89388709	0.011	0.031	0.466	1.51302824756718e-79
chr15:89388782-89388826	0.063	0.489	0.442	1.46976155563194e-61
chr15:9038118-9038137	0.594	0.267	0.211	1.63828963731584e-76
chr15:9038244-9038288	0.73	0.063	0.126	1.19627508321772e-143
chr15:9042276-9042308	0.673	0.296	0.046	6.3029679394187e-126
chr15:9042335-9042358	0.674	0.387	0.005	2.0026647045594e-143
chr15:90770899-90770955	0.732	0.107	0.143	7.34941789600362e-59
chr15:91029842-91029875	0.116	0.115	0.153	0.0936668887191209
chr15:91029906-91029929	0.24	0.149	0.078	2.33094018187885e-21
chr15:91203856-91203878	0.408	0.336	0.644	2.0009377005177e-24
chr15:91403509-91403520	NA	NA	1	NA
chr15:91539928-91539934	0.5	0.221	0.571	6.64496512809662e-86
chr15:91698307-91698319	0.581	0.288	0.118	9.59757977501617e-49
chr15:92351413-92351430	0.605	0.146	0.555	3.04449445482536e-69
chr15:92423366-92423385	0.653	0.244	0.066	6.48351607720195e-41
chr15:92452333-92452343	0.492	0.183	0.704	4.99338142748086e-56
chr15:93096894-93096904	0.595	0.109	0.598	1.60505273829251e-76
chr15:93291830-93291856	0.585	0.052	0.048	5.37211258751458e-83
chr15:93319511-93319545	0.635	0.246	0.023	1.05745801430532e-145
chr15:93322455-93322468	0.7	0.085	0.047	1.3876074311992e-153
chr15:93331317-93331328	0.624	0.325	0.257	6.89844194767364e-52
chr15:93331346-93331397	0.715	0.247	0.058	8.27357226172742e-114
chr15:93331409-93331437	0.619	0.541	0.052	2.23501094532243e-118
chr15:93333366-93333428	0.341	0.236	0.341	0.0134266676443463
chr15:93333508-93333545	0.334	0.228	0.635	1.85228100863208e-50
chr15:93333640-93333708	0.436	0.209	0.348	1.44658451492314e-22
chr15:93333718-93333781	0.478	0.115	0.18	2.06630048426546e-55
chr15:93333861-93333949	0.509	0.202	0.331	2.48595082957101e-18
chr15:93333969-93334040	0.48	0.098	0.194	3.57238503807711e-69
chr15:93334071-93334092	0.418	0.123	0.255	9.79025411460545e-29
chr15:93368363-93368388	0.668	0.234	0.582	2.50585122743357e-51
chr15:93655498-93655511	0.585	0.149	0.594	3.34397552091387e-83
chr15:93967780-93967802	0.473	0.537	0.601	1.97852275411229e-09
chr15:94155275-94155293	0.555	0.212	0.109	9.80663696154045e-88
chr15:94341477-94341703	0.778	0.388	NA	4.59158286632606e-08
chr15:94384440-94384476	0.421	0.265	0.052	5.17276373009548e-77
chr15:94388645-94388660	0.59	0.092	0.223	2.00389261288116e-80
chr15:94396737-94396797	0.449	0.413	0.213	2.0933516677158e-22
chr15:94397221-94397242	0.546	0.345	0.284	3.21125026070462e-28
chr15:94411299-94411366	0.626	0.197	0.038	1.5868828006608e-119
chr15:94413773-94413858	0.509	0.158	0.649	2.61425614856095e-46
chr15:94483894-94483904	0.562	0.258	0.345	1.53651324374569e-33
chr15:95734916-95734934	0.613	0.246	0.478	2.23256002221769e-46
chr15:95734970-95735070	0.639	0.058	0.622	9.66121322012503e-116
chr15:95778752-95778794	0.396	0.305	0.051	3.3212573141992e-36
chr15:95778926-95778982	0.46	0.318	0.009	6.20936046358202e-105
chr15:95778988-95779041	0.566	0.271	0.061	3.38511429087884e-130
chr15:96048347-96048364	0.569	0.243	0.065	4.69708697257642e-122
chr15:96048404-96048434	0.442	0.208	0.11	1.27272609740269e-83
chr15:96182084-96182175	0.614	0.077	0.113	1.73644593649833e-76
chr15:96447165-96447259	0.629	0.442	0.028	1.00578136581454e-110
chr15:96483218-96483237	0.579	0.004	0.567	1.09302248809041e-125
chr15:96532307-96532317	0.273	0.04	0.059	8.97721611536824e-46
chr15:96623909-96623921	0.486	0.207	0.058	1.28354826805833e-99
chr15:96849937-96849948	0.586	0.351	0.61	2.13092494568331e-34
chr15:96850164-96850188	0.488	0.133	0.683	3.16643450319234e-111
chr15:96879978-96880025	0.367	0.347	0.411	0.000346149945719446
chr15:96882722-96882802	0.547	0.299	0.23	1.76139456657801e-08
chr15:96883498-96883524	0.356	0.267	0.154	2.22538962694286e-40
chr15:96884879-96884957	0.18	0.145	0.847	4.77120823415872e-96
chr15:96884971-96885066	0.078	NA	0.756	8.85063809127039e-115
chr15:96885082-96885156	0.198	NA	0.694	4.24471002349514e-52
chr15:96885193-96885278	0.404	0.69	0.746	0.00629360929205972
chr15:96885450-96885511	0.047	0.344	0.771	9.38258199955794e-44
chr15:96885537-96885637	0.245	0.502	0.793	7.23929595440371e-23
chr15:96885707-96885787	0.496	0.336	0.744	4.51747791725553e-19
chr15:96885923-96885969	0	0.386	0.663	6.94462251980368e-71
chr15:96886107-96886149	0.41	0.405	0.733	1.00047833437765e-06
chr15:97001637-97001741	0.684	0.192	0.279	2.43420964354988e-40
chr15:97158239-97158267	0.134	0.218	0.148	2.20231266911875e-24
chr15:97199750-97199826	0.56	0.391	0.405	5.5257297208442e-12
chr15:97207257-97207295	NA	0.329	0.491	3.54225151746897e-16
chr15:97207317-97207330	0	0.141	0.49	1.57635268006966e-33
chr15:97207635-97207685	NA	NA	0.457	NA
chr15:97208066-97208080	0.207	0.112	0.361	0.00421009605941873
chr15:97214502-97214594	0.377	0.236	0.166	3.86309020829041e-35
chr15:97214706-97214751	0.322	0.096	0.269	2.89024201098155e-44
chr15:97214779-97214844	0.288	0.279	0.293	0.226431997075799
chr15:97214853-97214908	0.541	0.101	0.474	1.72715199555326e-79
chr15:97215070-97215128	0.485	0.06	0.307	1.37452802498057e-54
chr15:97215150-97215235	0.423	0.325	0.226	1.61127251417421e-24
chr15:97215727-97215789	0.344	0.293	0.038	3.16394765247529e-54
chr15:97375588-97375605	0.401	0.1	0.105	4.3972335493301e-66
chr15:97388609-97388644	0.465	0.404	0.045	3.40805484586461e-38
chr15:97423427-97423494	0.409	0.219	0.063	6.57105117217201e-69
chr15:97423537-97423587	0.407	0.153	0.151	2.20096189611178e-37
chr15:97506459-97506499	0.538	0.346	0.277	8.49498702955586e-24
chr15:97577403-97577411	0.515	0.456	0.342	2.84871205940274e-09
chr15:97913365-97913408	0.677	0.276	0.023	2.71920751344301e-78
chr15:98359369-98359381	0.563	0.33	1	1.75132214917063e-87
chr15:98359743-98359761	0.663	0.387	0.411	8.36314841814077e-40
chr15:98764846-98764868	1	NA	NA	NA
chr15:98836635-98836651	0.41	NA	0.036	4.22828909570089e-83
chr15:99223593-99223602	1	NA	NA	NA
chr15:99237534-99237540	0.465	0.2	0.282	1.79913744803815e-32
chr15:99280121-99280133	0.68	0.173	0.46	8.94610657212125e-126
chr15:99301037-99301064	0.38	0.278	0.318	4.54863609151792e-11
chr15:99301079-99301133	0.459	0.384	0.512	1.17659673632878e-09
chr15:99470067-99470078	0.756	0.186	0.342	5.77919419113975e-84
chr15:99534813-99534837	0.474	0.157	0.513	9.2945127170575e-50
chr15:99622859-99622873	0.634	0.309	0.386	2.64703354973197e-50
chr15:99640798-99640835	0.598	NA	0.272	2.15161533500576e-37
chr15:99703491-99703508	0.555	0.54	0.569	0.315125914487519
chr16:10078140-10078224	0.805	0.075	0.011	7.140481497753e-153
chr16:10336897-10336961	0.619	NA	0.012	1.35913682317699e-83
chr16:10447566-10447649	0.38	0.001	0.644	2.68562905295218e-43
chr16:10530794-10530807	0.553	0.29	0.058	1.70857288893701e-86
chr16:10950832-10950843	0.525	0.532	0.489	0.0266606710236628
chr16:10958518-10958553	0.431	0.796	0.308	3.49210414755569e-45
chr16:10959434-10959453	0.786	NA	0.321	5.47718501532106e-106
chr16:10979256-10979289	0.657	0.396	0.519	1.16432583280325e-43
chr16:11051800-11051811	0.674	0.118	0.365	9.89522987949882e-92
chr16:11450622-11450647	0.508	0.127	0.18	1.62348195792062e-77
chr16:11460975-11460991	0.655	0.307	0.318	6.07026676651427e-52
chr16:11778978-11779194	0.839	0.056	0.635	1.45175510624503e-90
chr16:13109902-13109936	1	NA	NA	NA
chr16:13130165-13130190	0.438	0.09	0.023	1.42812547258358e-98
chr16:13130383-13130441	0.29	0.155	0.024	9.63238467556093e-56
chr16:13130499-13130529	0.232	0.276	0.02	6.83248200918591e-63
chr16:13147909-13147946	0.241	0.292	0.04	3.53860684474422e-41
chr16:13377192-13377204	0.68	0.113	0.471	1.48980277672474e-99
chr16:13782091-13782112	0.368	0.196	0.312	2.02178698178118e-36
chr16:13868243-13868254	0.151	0.067	0.189	0.0902740485688736
chr16:13868371-13868390	0.36	0.485	0.243	7.94924866405377e-34
chr16:13868407-13868414	0.065	0.356	0.264	2.23220582584931e-29
chr16:14958379-14958424	0.563	NA	0.171	1.06624977866306e-54
chr16:15637953-15637961	0.664	NA	1	0.000129894082284351
chr16:15637977-15638001	0.664	NA	1	3.74338319494582e-07
chr16:17121494-17121543	0.232	0.127	0.131	0.00087167868437433
chr16:17121582-17121635	0.192	0.494	0.026	9.73895206622745e-58
chr16:17121875-17121960	0.55	NA	0.375	5.64022479600481e-37
chr16:17702877-17702901	0.594	0.215	0.374	7.62150355020771e-49
chr16:17702947-17702991	0.588	0.313	0.172	5.15641371150241e-50
chr16:17703006-17703133	0.582	1	0.553	3.22185615749834e-32
chr16:17703163-17703257	0.667	NA	0.34	1.70643160179437e-25
chr16:17905135-17905157	0.685	0.045	0.264	7.19048056177776e-74
chr16:17945114-17945291	0.66	0.355	0.374	1.84955657220364e-34
chr16:18012416-18012446	0.62	NA	0.162	1.43833303087402e-66
chr16:18342074-18342084	0.621	0.134	0.488	4.41846052684055e-80
chr16:18416605-18416661	0.62	0.312	0.547	2.72450050389647e-63
chr16:18682201-18682215	0.224	NA	0.107	1.86504001819971e-07
chr16:20177201-20177214	0.585	0.179	0.086	1.99302552399815e-81
chr16:20359757-20359821	0.534	0.213	0.547	1.87695410839648e-51
chr16:20362280-20362364	0.582	0.362	0.077	7.36807514738654e-113
chr16:20362392-20362426	0.447	0.143	0.048	8.07205004550439e-76
chr16:20404287-20404312	0.619	0.115	0.239	1.73373254404182e-120
chr16:20497307-20497394	0.496	0.55	0.532	4.06775583030849e-05
chr16:20497479-20497538	0.55	0.506	0.572	1.38107712044375e-05
chr16:20686946-20687013	0.665	0.318	0.002	1.60449836487863e-72
chr16:20822250-20822322	0.554	1	0.204	1.47770337374729e-76
chr16:20822493-20822549	0.576	NA	0.394	7.82000960012001e-10
chr16:20822646-20822676	0.641	NA	1	3.28167513952793e-38
chr16:21153427-21153495	0.569	NA	0.306	1.39887435573332e-10
chr16:21214713-21214720	0.245	0.095	0.57	1.12672844786219e-86
chr16:21370261-21370293	0.637	0.157	0.651	4.12857017752175e-123
chr16:21470084-21470201	0.569	0.412	0.121	5.68356145489234e-62
chr16:21613107-21613126	0.573	0.312	0.486	1.62734014243684e-13
chr16:21653119-21653215	0.667	0.313	0.107	6.29401675561713e-85
chr16:22067655-22067673	0.546	0.306	0.619	2.62921377635994e-64
chr16:22119230-22119310	0.642	0.125	0.771	2.72808470149079e-66
chr16:22140124-22140130	0.491	0.209	0.147	7.43528396524874e-65
chr16:22237079-22237138	0.378	NA	0.128	2.75975484676335e-24
chr16:22254502-22254541	0.663	0.255	0.08	4.58551878193331e-46
chr16:22255113-22255148	0.449	0.614	0.589	4.68021389051965e-05
chr16:22295116-22295122	0.514	NA	0.056	4.17507762566608e-67
chr16:22383635-22383684	0.541	0.052	0.47	5.55958248301221e-46
chr16:22398484-22398534	0.485	0.294	0.055	9.75000083772621e-67
chr16:22401627-22401670	0.698	0.292	0.017	1.82029989650079e-145
chr16:22405406-22405546	0.743	0.339	0.272	1.74312684894099e-87
chr16:22407580-22407624	0.578	0.361	0.513	2.92525322247928e-27
chr16:22409509-22409543	0.676	0.32	0.078	8.60711984686858e-101
chr16:22411081-22411141	0.672	0.457	0.07	1.65680175520187e-98
chr16:22411771-22411827	0.602	0.213	0.025	1.16013553701761e-85
chr16:22623440-22623444	0.652	0.185	0.335	2.15540751794804e-34
chr16:22789512-22789516	0.572	1	0.323	9.24229347700716e-61
chr16:23014943-23015116	0.705	0.115	0.491	1.62334098238761e-64
chr16:23015781-23015803	0.565	0.213	0.138	5.66650015810932e-33
chr16:23016200-23016227	0.601	0.096	0.203	1.8369732410889e-25
chr16:23179624-23179687	0.447	NA	0.106	1.21526651353754e-57
chr16:23179820-23179847	0.36	NA	0.226	0.167822330299092
chr16:23913085-23913195	0.64	0.187	0.467	8.01468932004537e-62
chr16:23966231-23966249	0.607	0.033	0.093	1.54588512978689e-110
chr16:24204668-24204819	0.664	0.443	0.258	1.11905962660863e-40
chr16:24348043-24348050	0.465	0.177	0.606	2.74513310687193e-86
chr16:24966660-24966705	0.761	0.18	0.302	1.77214544568854e-67
chr16:24971855-24971880	0.661	0.385	0.072	2.23566632025071e-83
chr16:25041087-25041117	0.558	0.411	0.097	1.84111588796858e-97
chr16:25046061-25046130	0.547	0.315	0.186	3.99012834935684e-32
chr16:25866288-25866296	0.637	0.129	0.255	9.25598980289669e-103
chr16:28833455-28833471	0.73	0.196	0.04	4.46147177452661e-101
chr16:28888812-28888864	0.528	0.207	0.125	4.29541679341306e-40
chr16:28951461-28951492	0.668	0.435	0.054	3.69012162702954e-61
